Odom Reading 1 (Previous),Odom Reading 1 (Update),Odom Reading 2 (Previous),Odom Reading 2 (Update),Odom Reading 3 (Previous),Odom Reading 3 (Update),Odom Reading 4 (Previous),Odom Reading 4 (Update)
133307,138511,,,28593,60088,,
8554,39440,54865,59650,,,799,23141
2313,36571,,,,,,
78022,82183,45807,55642,,,,
29927,42977,,,,,,
72284,86372,75509,76983,,,,
46201,78262,,,,,,
55935,65767,,,,,,
60774,74301,,,,,,
23479,41708,,,,,,
31000,67204,52000,87380,,,,
91200,95502,6953,34766,,,,
56143,66167,,,,,,
25292,74015,25259,66762,,,,
163500,165582,168157,177687,,,,
4897,15623,22837,51197,,,,
67414,86859,53945,60630,81000,115060,,
86597,132872,,,,,,
18286,29304,32191,67040,,,,
14885,62006,,,,,,
127000,129762,,,,,,
69540,88703,,,,,,
60340,65999,,,,,,
21385,70877,,,,,,
75339,123712,,,,,,
1198,48812,,,,,,
30000,41307,,,,,,
28688,53545,,,,,,
186471,214541,,,,,,
65491,78011,,,,,,
104447,110457,18801,60753,,,,
3570,35516,,,,,,
23172,31284,,,,,,
151,26414,,,,,,
139803,174933,,,,,,
11394,37559,,,,,,
130002,138497,,,,,,
136263,161393,104507,131352,,,,
60729,72197,,,,,,
114635,117576,,,,,,
202973,248060,,,315,43484,,
50100,92700,,,,,,
39678,71489,,,,,,
0,32083,,,,,,
40226,86684,,,,,,
122720,154756,,,,,,
104970,141070,54,8905,,,,
20150,48826,,,,,,
166545,195247,70184,70222,,,,
105260,133490,782,21409,,,,
14000,25285,,,,,,
23949,62482,,,,,,
160049,200964,,,,,,
169872,206423,,,,,,
22895,64035,,,,,,
74509,120822,12394,37511,,,,
228986,278480,,,,,,
85721,119380,76585,113614,,,,
82792,125195,75215,100422,,,,
20000,25650,,,,,,
30423,64939,,,,,,
83990,99755,,,,,,
16574,46998,,,,,,
70218,92746,40533,77332,,,,
76399,116321,13600,51154,185437,229285,,
96025,143953,44751,58880,,,,
142564,164058,,,,,,
137558,162807,,,,,,
14000,32998,36150,60990,21850,35940,,
172042,198246,88711,91619,,,,
138123,149865,7109,31610,64500,109655,,
82302,110474,,,,,,
41164,47724,55825,63364,,,,
120219,158443,,,,,,
54110,58407,,,,,,
239,18306,,,,,,
102319,105503,,,181132,211097,,
26150,52335,,,,,,
108171,110218,44608,76912,,,,
53749,57216,,,,,,
328396,343157,56341,82717,,,,
76227,120943,,,,,,
31000,77460,,,,,,
22851,54454,,,,,,
188358,199270,,,,,,
102745,133898,,,,,26650,29783
118483,120310,,,,,,
214958,247692,,,,,,
64263,85234,,,,,,
130000,151363,,,,,,
126481,142923,,,,,,
87305,96962,121123,164311,,,,
26,25502,,,,,,
122132,139896,,,,,,
90000,129224,,,,,,
28872,75959,23681,36583,,,,
25283,40911,95216,143359,,,,
78630,109415,30706,46984,,,,
38333,51538,88407,105762,29103,46135,,
40000,47449,,,,,,
96998,131502,,,,,,
41637,79832,110201,136233,,,,
102935,145788,85312,112615,,,,
74251,111935,34179,53547,,,,
32958,54846,,,,,,
149349,189776,78354,91000,24437,28023,,
200,21182,58500,74314,,,,
269039,296268,99389,106132,,,,
47222,68076,,,,,,
113309,124591,15136,47835,,,,
17492,52929,17834,20865,,,,
47793,66314,186587,188514,,,,
148352,182491,,,,,,
69282,80538,,,,,,
136775,173253,105214,136993,,,,
29000,53004,,,,,,
38817,76879,,,,,,
105657,155324,,,,,,
58180,80466,64120,72405,,,,
4761,33188,,,,,,
73651,82376,184163,208501,,,,
9110,14383,,,,,,
44743,73727,,,,,,
70000,103802,135000,157947,,,,
99525,149028,,,6603,12428,,
18,25761,160000,174652,,,,
28307,63566,,,,,,
120231,143805,,,,,,
9000,52048,29200,73395,,,,
3882,48005,15788,60468,,,,
46088,83456,,,,,,
5502,51035,15143,62566,,,,
49783,51899,,,,,,
126411,130415,106000,136281,,,,
50000,84553,75500,108459,,,,
17000,32740,,,,,,
29205,49304,55256,74423,,,,
304,28616,52029,68628,,,,
175838,221539,150978,163598,,,,
100400,114293,,,,,,
35228,50869,,,,,,
107785,114454,18607,26936,,,,
106011,153013,123889,164133,,,,
450,50040,,,49701,81511,,
2186,34262,,,,,,
66637,84243,,,,,,
88140,134616,,,,,,
16475,60468,,,,,,
79776,124361,144229,191146,,,,
10773,37292,,,26990,70535,,
75000,99832,,,,,,
74710,84039,57971,60329,,,,
18813,26760,42622,55484,,,,
20608,51037,10770,30193,,,,
164896,190480,,,,,,
94696,134773,,,,,,
90036,93626,1781,5746,,,,
18000,22273,,,,,,
8000,37725,58,1151,,,,
32490,72136,72972,99618,,,,
70571,95485,38161,38599,,,34594,82881
164718,176934,26194,47238,,,92931,94317
6511,38955,162524,200838,,,,
90992,137631,,,,,,
67352,97500,,,,,,
139626,180698,6180,21193,,,,
213875,263199,38711,87257,,,,
6046,25244,,,,,,
58311,76219,76481,102283,,,46772,85478
135165,136208,94357,117707,,,,
48021,94670,43006,48999,,,,
3247,3726,,,,,,
131650,178147,,,,,,
84569,93112,,,,,,
62305,91642,,,,,,
86153,129404,32132,68852,,,,
81582,81999,,,64005,92418,,
45093,48317,,,,,645,40043
37585,68220,79776,108832,,,,
151136,160905,474,29873,,,,
79000,118120,,,,,,
167006,194656,,,,,,
150000,187040,144000,170708,,,,
574,28140,,,,,,
63663,64444,,,,,,
1139,4436,130256,165178,,,,
20732,67192,65411,113722,,,,
17276,37300,,,,,,
42834,70120,22093,66953,,,,
64838,87567,125665,145987,,,,
15000,34990,,,,,,
62698,91948,35000,46434,,,,
106714,155196,99923,148571,,,,
54000,72895,1000,33039,,,,
10,6886,,,,,,
43365,85934,,,,,,
67466,70301,,,,,,
5000,13775,195,48547,,,,
5474,9427,52387,58171,,,,
75000,105956,,,,,,
85094,130237,,,,,,
59674,75360,,,,,,
95305,101839,,,,,,
118490,155290,45355,88263,,,,
126246,130491,,,,,,
55238,94626,147709,196736,,,,
70000,95507,,,,,,
123000,131724,18014,42020,,,,
95069,128391,33183,48149,,,73986,120423
572,4936,,,,,,
80879,92976,,,,,,
97658,130616,7887,9326,,,,
55839,87416,,,,,,
54200,70532,81500,88606,,,,
84075,95358,,,,,,
85033,101183,156691,158927,,,,
31490,58846,50083,91730,,,,
11080,35892,87535,117613,,,,
82674,129416,79481,119335,,,,
39281,68524,,,,,,
51362,82054,,,,,,
131217,145930,51553,68186,,,,
120570,148557,,,,,,
3662,41244,,,,,,
50326,86040,,,,,,
4328,18919,,,,,,
2700,21481,,,150000,163737,,
80000,85633,,,,,,
80063,84169,,,,,,
20000,46035,,,,,,
26170,47919,116703,160631,,,,
43768,48411,77063,116410,,,,
5473,29406,47074,95902,,,,
6465,31164,15991,65456,,,,
713,32443,33730,69427,,,,
5627,51309,98977,119342,57962,61289,,
2297,37674,,,,,,
87102,115477,44138,59782,,,,
121972,132043,,,113287,146691,,
61000,109292,104000,113979,,,,
52355,95023,,,,,,
42688,81373,8546,40514,,,,
530,31035,,,,,,
31342,64547,,,,,,
72680,113134,,,,,,
18610,61668,134219,164976,16648,39400,,
55691,75523,,,,,,
176000,212925,,,,,,
117486,128697,,,,,,
74569,101006,,,,,,
27204,68670,,,3141,30151,,
56370,89282,,,,,,
34500,40053,6,28369,,,,
93801,128396,105694,123844,,,,
34128,66142,,,59074,106492,,
28000,74684,,,,,,
68000,109992,,,,,,
151369,193651,,,,,,
27995,50902,119393,149883,84054,101856,,
91318,125468,109710,113261,,,,
98050,115212,,,,,,
60000,75279,58000,77445,,,,
161890,175770,133243,147706,,,,
54378,60474,,,27644,73981,,
146000,156945,,,55244,99714,,
9211,36113,161974,191995,,,,
70332,80083,15826,64884,,,,
144349,167932,,,,,472,42222
37670,68433,67524,92596,,,,
39200,51315,,,,,,
160000,171578,,,,,,
1355,41401,,,,,,
178650,194741,,,,,,
78625,86353,,,,,,
104875,137622,,,,,,
16604,34275,,,,,,
47081,95050,,,,,,
65098,76295,92301,102162,,,,
78414,86175,7106,44843,,,,
100689,135338,9351,52950,,,,
38475,83096,,,,,,
57512,61281,80000,105995,,,,
34798,53270,,,,,,
179080,222592,196453,215583,157151,175444,,
68582,112645,,,,,,
68111,82666,,,,,,
79054,108161,35854,41138,,,,
189027,200316,,,,,,
109138,119429,,,,,,
53420,71173,123882,132898,,,,
52981,87626,,,,,,
66500,91981,,,,,,
14659,26858,139841,158415,,,,
38659,47514,,,,,,
10,19516,58548,92498,24,14709,,
18275,67673,83576,94285,,,,
126790,176417,54875,94194,,,,
127064,141047,,,,,,
102000,109116,13000,22882,,,,
17114,57356,,,,,,
2000,17503,,,,,,
20450,59176,,,,,,
67026,70584,,,,,,
962,10073,118679,162812,,,,
130000,172733,,,,,,
68101,103068,112730,116734,,,,
106357,118477,39523,72255,,,,
54275,92225,,,,,,
77032,82503,2833,33021,,,,
98415,114664,938,22328,,,,
71859,91660,,,,,,
87200,136900,501,7251,,,,
4668,40539,,,,,,
169106,170940,,,,,,
267245,285925,64000,72999,,,,
60622,92526,88440,96917,,,,
26445,50702,102891,123251,,,,
0,125,,,,,,
10412,53717,,,,,,
71391,114701,67640,98651,,,,
118,6616,88462,97427,86000,99156,,
150000,167884,,,,,,
73091,104161,,,,,,
129558,154385,,,,,,
103191,119611,92812,99747,,,,
312,49114,,,,,,
6550,53004,,,,,,
55435,86271,160177,174347,,,,
3397,12366,11485,20690,,,,
100449,132330,131699,163941,,,,
70754,108981,,,,,,
26248,64136,,,,,,
109600,135399,,,,,,
104521,113659,,,,,,
46256,81508,,,,,,
74674,122790,,,92541,107264,,
56053,79381,,,,,,
32557,74620,,,,,,
52744,90970,,,,,,
66620,113273,,,,,,
74174,76541,,,,,,
53372,77901,9697,14805,,,,
0,13282,,,,,,
199219,200960,,,,,,
89068,96074,,,,,,
4800,36296,50000,97269,,,,
14600,17721,,,,,,
154848,200094,63090,111681,,,,
101999,111626,,,,,,
85710,103714,,,,,,
96926,134279,44099,90083,,,,
92349,134699,,,,,,
135173,156425,74722,121197,,,,
47887,89573,,,,,,
190000,195221,,,,,,
197458,206290,,,,,,
43411,61075,,,,,,
18451,26629,69,6414,,,,
113000,154435,177347,224817,,,,
42086,48080,30821,71643,,,,
50086,87912,,,,,,
24000,41038,,,,,,
462,42110,,,,,,
7553,18597,,,,,,
56195,56706,,,,,,
40975,77947,34343,62528,,,,
46221,59778,94613,114921,,,,
36500,55006,,,,,,
55356,56061,,,,,,
13983,26368,,,,,,
78695,82809,106848,122230,,,,
120597,169861,,,,,,
10445,43176,,,,,,
17405,35791,,,,,,
43000,61827,,,,,,
31771,76517,,,,,,
24,8573,,,,,,
185134,221819,,,,,,
41,14107,,,,,68482,102432
60578,103336,,,,,,
20627,40949,42387,84531,,,162105,172320
42491,46308,48427,64048,,,,
54719,55476,102780,108833,,,,
140122,144357,85892,104866,,,,
83000,89472,86981,105904,,,62215,104547
54187,79069,176579,213020,,,,
15542,23042,11112,55989,,,,
33000,67728,,,,,,
35136,38588,928,25010,,,,
41279,49403,73641,77811,45283,84308,112415,157141
39737,47131,70904,77041,,,,
29596,60829,,,,,,
200,20206,8021,24657,,,,
30000,46908,15000,47958,,,,
136,25824,,,,,,
36348,46836,,,,,,
161482,194436,7977,12168,,,,
50487,57068,20516,63577,,,,
22801,40956,,,,,,
173217,193027,,,,,,
17401,30039,,,,,,
111356,117020,20923,21295,,,,
85814,124711,,,,,,
71253,106514,65001,72479,,,,
82084,103536,129640,161779,,,,
108779,109994,,,,,,
19838,20208,,,,,,
49428,93205,30305,58674,,,,
10410,22146,,,,,,
67712,88506,38411,54014,,,,
45000,72999,9000,40274,,,,
182053,219175,,,,,,
4002,32561,,,,,,
40801,86796,3194,45719,,,,
37000,62015,,,,,,
13399,50073,4307,27951,,,,
145888,151976,,,,,,
114000,134556,49700,49908,,,,
648,48534,,,,,,
40816,69733,,,,,,
40635,43925,,,,,,
33001,77182,150000,156615,,,,
65322,70901,,,,,,
90000,109291,,,,,,
35928,53452,,,,,,
53730,79421,,,,,,
175485,216635,,,,,,
76668,122778,,,,,,
1000,44669,40000,50264,,,,
19751,68172,,,,,,
55943,66479,,,,,,
18150,33461,136341,159749,,,,
114297,148608,,,,,,
175,29387,,,,,,
58259,65090,,,,,,
52000,56761,24000,50350,,,,
55395,55413,60000,83058,,,,
41707,65495,48260,76820,,,83974,101413
11712,28645,,,,,,
94117,141651,,,,,,
84374,96653,,,,,,
134000,156669,149504,153065,,,,
193634,242310,,,,,,
78197,123614,,,,,,
85000,130149,,,,,,
112662,158384,197803,226071,,,,
61297,104640,,,,,,
174980,222220,,,36829,41287,,
20000,58639,,,3000,43768,,
858,28358,,,22262,64735,,
63526,85936,,,100400,141106,,
64000,91479,50000,73424,,,,
22098,28980,37672,77156,,,,
23641,33769,73545,90675,,,,
108030,156761,104539,154503,,,,
177627,226771,,,,,,
96199,130465,1308,19813,5046,41976,,
100980,125406,,,,,,
196888,240325,,,,,,
61014,62196,39577,52232,,,,
96618,110290,,,,,,
130000,159639,,,78000,115456,,
45160,65797,21810,27673,,,,
290220,332112,,,,,,
15662,26268,,,,,,
52185,97339,,,,,,
4800,16454,131000,141489,,,,
92548,97876,,,,,,
51895,57863,,,6243,49702,,
129934,141043,68830,85183,,,,
54100,70491,798,50406,,,,
41691,55520,,,,,,
28985,69470,,,,,,
538,6835,679,36446,,,,
56927,94211,,,,,,
22887,39826,,,,,,
75744,91762,,,,,,
5157,33214,,,,,,
51000,70916,,,,,,
32250,62056,47817,89967,,,,
606,21465,69793,104296,,,,
91623,126779,80576,118093,,,,
89867,91940,1105,48746,,,,
81375,90069,,,,,,
174771,192928,,,,,,
75091,78399,,,,,,
26635,62423,,,,,,
13005,38441,52000,56607,,,,
12000,51152,,,,,,
19229,47928,,,,,,
30000,62753,,,,,,
72214,98299,164,18995,67048,102390,,
226940,241542,,,,,,
59720,90939,46007,92551,,,,
29742,61785,,,,,,
31100,32303,190884,238422,,,,
84025,125185,,,,,,
46571,75444,,,,,,
31660,54434,151415,166315,,,,
136676,143932,,,,,,
17693,44249,,,,,,
24545,63821,,,,,,
56882,80082,,,,,,
102376,148438,162512,180948,117926,162541,,
10,19621,,,,,,
139291,188657,,,,,,
3695,25604,27055,53135,,,,
82752,92560,,,,,,
67319,113550,,,,,,
32648,59554,269,31902,54136,72732,,
15649,23526,,,,,,
68711,70728,11656,18587,,,,
43487,91987,,,,,,
35350,66888,,,,,,
760,26354,61198,102594,,,,
135000,184352,160000,185533,,,,
28700,51078,,,,,,
202830,252131,118138,136059,,,,
106322,117781,,,,,,
98000,116281,85609,119587,,,,
31669,73493,,,,,,
32397,57896,22010,48246,9600,37991,,
95612,140550,,,,,,
137673,183293,,,,,,
92465,100693,,,,,,
60480,68326,,,,,,
78802,106762,,,,,,
41239,61337,2999,18525,,,,
45378,90002,,,,,,
113000,121497,,,,,,
163000,193204,,,,,,
0,27381,,,,,,
122207,161390,75539,78982,,,,
105534,123732,,,,,,
53549,81387,74462,77805,,,,
36732,68303,39007,47128,,,,
1062,9249,,,,,,
78388,102700,118777,146621,,,,
97081,102868,18008,35129,,,,
162176,189600,56158,80595,,,,
108491,117656,33017,59788,,,,
32093,39215,,,,,,
678,6227,,,,,,
276043,321584,90661,92076,,,,
66603,71664,,,,,,
108627,114970,,,,,,
9,25762,,,,,,
55248,87951,,,,,,
82000,114707,34100,58091,,,,
56491,94198,,,,,,
162169,174057,,,,,,
56362,56450,128660,174576,,,,
87561,89672,,,,,,
18678,22227,90152,115446,,,,
22000,50582,,,,,,
27519,39167,,,,,,
226387,260152,,,,,,
95241,134864,202869,235997,,,,
112313,160983,41287,61941,,,,
85749,119419,,,,,,
33291,58576,,,,,,
201421,239137,,,,,,
52367,68470,,,,,,
8641,45856,79828,117807,,,,
108908,151054,90719,116920,,,,
77000,110787,51002,77362,,,,
11539,27097,,,,,,
37766,85293,,,,,35376,54369
30283,46284,,,,,,
42199,74917,54935,68388,,,,
76013,92567,,,,,,
39920,42686,,,,,,
577,24535,118774,159048,185,41604,,
91064,115619,,,,,,
23408,42165,,,,,,
40516,45294,,,,,,
70277,114297,,,,,,
160514,167197,240874,241245,93308,136456,,
56312,84852,50803,65930,,,,
33000,82160,48326,77973,,,,
146302,154038,,,,,,
734,32635,,,,,,
105000,134151,,,,,,
46507,58835,6695,29498,,,,
94898,134117,125375,156040,,,,
162660,204206,105540,123877,,,,
150600,188493,84812,106781,,,,
65624,66090,,,,,,
88330,118593,18296,43886,,,,
132964,176365,,,,,,
31779,50109,19883,46202,,,,
68356,115509,99390,143246,,,,
131885,167260,,,,,,
16000,25857,,,,,,
23429,24744,13578,33456,61038,99720,,
210055,256121,117956,129786,,,,
0,32893,120000,149211,125000,125939,146000,164414
137316,166880,,,,,,
6246,22579,,,,,,
22315,28848,31266,47584,99970,143223,,
2899,46853,86908,94486,,,,
2039,23944,,,,,,
71172,109116,,,,,,
14106,52364,15792,58384,,,,
3843,53539,35701,48926,,,,
127798,146987,,,,,,
53547,62779,,,,,,
58266,75561,,,,,,
1584,42216,,,,,,
41802,76740,14300,49830,,,,
126825,176167,,,,,,
24685,56814,,,,,,
46538,48264,,,,,,
36999,82770,16999,24357,,,,
67514,99497,,,,,,
117059,135283,,,,,,
95757,120051,,,,,,
74215,113545,,,,,,
77394,109314,69573,116571,,,,
67000,69719,,,,,,
94043,100378,,,70037,92033,,
45195,77875,,,,,,
50000,86944,0,6681,,,,
497,46478,,,15960,19464,,
16720,45301,,,,,,
228913,260924,,,,,,
78904,114967,,,,,,
47269,83804,39824,52247,,,,
2533,33348,,,,,,
44012,48212,113595,119700,,,,
25240,39253,6426,37140,,,,
46209,63736,,,,,,
12162,44050,,,973,15138,,
3995,33423,,,68383,108695,45344,73904
105612,118588,,,,,,
14857,32248,16381,21458,,,,
27016,54896,,,,,,
450,33209,,,,,,
165000,169291,,,,,,
39000,73837,,,,,,
78000,123877,,,,,,
36891,76880,,,,,,
28332,52544,3,44422,,,,
83674,84215,189690,235146,,,,
111471,133115,137687,167494,,,,
158608,166810,,,,,,
8000,19866,,,,,,
3073,21196,,,,,,
106429,146097,159620,206467,,,,
9205,29552,,,,,,
150000,181909,,,,,,
37305,73190,,,,,,
81333,121310,,,,,,
9874,12630,,,,,,
25262,66925,15693,39731,22484,36763,,
3600,44170,18256,56201,,,,
94884,104003,,,,,,
80739,90034,,,,,,
14228,34527,64093,95095,,,,
83000,96002,188807,208024,,,,
149887,163996,,,,,,
47495,68872,,,,,,
52565,71784,13984,44824,,,,
55439,84591,96490,118578,,,,
200,30970,,,,,,
125124,156934,,,,,,
18487,21933,,,,,,
103694,129915,,,,,,
43726,55931,51241,69682,22148,32315,,
196500,200029,45000,57428,,,,
43000,79327,59308,62995,,,,
50174,61483,,,,,,
55192,88767,,,,,,
59980,64447,86400,106272,,,,
68017,112266,39097,41684,,,,
110462,114764,,,,,,
31481,79057,46587,83300,,,,
117000,156423,17000,41702,,,,
92676,135562,,,,,,
175511,222230,,,,,,
43822,47206,,,,,,
40000,76982,,,,,,
55240,73530,75250,85105,,,,
129583,168583,167162,170680,,,,
24363,51001,,,,,,
3462,19228,,,,,,
65608,114391,668,26415,,,,
41099,51452,,,34426,64518,,
95180,131608,,,,,,
913,980,,,,,,
170000,178960,,,,,,
79341,129273,148943,184525,,,,
126813,143214,,,,,,
18347,60782,,,,,,
60000,99246,,,,,,
44863,54719,,,,,27397,43443
62030,70761,,,,,,
4184,21676,,,,,,
49714,49862,59870,87983,,,,
75774,115033,,,,,,
90922,121053,54201,73781,,,,
35234,38366,98950,132944,,,,
22880,33773,62000,109811,70000,82855,,
28218,73587,5733,6856,,,,
1007,37823,,,179994,194744,,
114193,135494,,,,,,
9913,33706,,,,,,
62826,78584,,,,,,
60126,75711,69635,76963,,,,
101691,132283,,,,,,
21855,23851,,,,,,
21925,61334,,,,,,
138446,171715,31319,38941,,,,
151035,172440,,,,,,
50000,93880,,,,,,
32000,37563,72800,116790,,,,
58085,105076,,,,,,
8497,14652,,,,,,
89231,131122,44320,52036,,,,
916,1665,9833,22676,,,,
63818,93578,,,,,,
23589,40021,,,,,,
57793,98153,78672,99072,,,,
154000,161101,57078,71877,,,,
123000,153900,,,,,,
92782,130824,,,,,,
96721,131987,31970,49115,,,,
61340,84723,,,,,,
100077,124302,66277,108718,,,,
4230,18787,,,,,,
85000,113099,,,,,,
135000,178410,105000,112883,,,,
114914,138227,,,,,,
70486,99090,37472,73561,,,34159,67571
65716,91973,,,140353,169603,,
111609,121025,83000,83278,,,,
82912,88090,,,,,,
89948,131659,,,,,,
191473,215497,19634,65807,50445,69345,,
100031,123178,,,,,,
60995,105020,,,,,,
359641,366574,,,,,,
85000,107257,,,,,,
93228,107409,,,,,,
65985,88980,,,70718,112824,,
133493,146945,,,,,,
39500,53716,49000,96200,,,,
86521,133559,216808,257136,,,,
32479,70428,20107,50840,97403,105186,,
82403,118693,166933,193547,,,,
30405,48642,10731,60393,,,,
5000,10373,,,,,,
34259,74280,,,,,,
38813,40090,,,,,,
56452,103830,44684,91479,,,,
265,40274,,,,,,
45,44935,86,2174,,,,
910,14795,,,,,,
53350,72357,,,,,,
76042,102362,41290,49770,,,,
180547,201213,180290,223297,944,50170,,
75340,99420,,,,,,
0,22126,0,46182,,,,
11092,51951,110917,135517,,,,
63290,75521,878,13502,,,,
3205,22404,31100,42964,,,,
30147,62328,,,,,,
66800,92797,44206,57095,,,,
97223,133834,,,,,,
20435,61525,,,,,,
126208,134488,,,,,,
175123,205913,,,,,,
123010,123577,,,,,,
44716,46579,,,,,,
17739,59872,,,,,,
78590,124989,,,,,,
60270,92768,,,,,,
51000,66898,76138,108389,,,,
6150,13519,143718,159568,135220,137758,,
68200,71534,,,,,,
48881,65029,25294,69865,,,,
77138,125489,152784,189025,,,,
97993,122778,,,,,,
409515,439991,31134,42364,95000,113214,,
0,39580,,,,,,
17467,50455,,,,,,
93425,143033,,,,,,
1316,6923,135276,152291,,,,
69118,100494,19888,56693,,,,
53785,100197,,,,,,
7863,40767,132824,173666,,,,
131050,140479,,,,,,
11135,20409,,,,,,
41120,83328,,,,,,
18576,45459,,,,,,
203845,233617,165,44034,,,,
133425,160964,118267,161924,,,,
55786,85673,,,,,,
94648,119964,89000,138674,,,,
55293,98906,10208,45691,14306,30897,,
48597,73717,30611,56656,,,,
78957,86444,,,,,,
119659,125043,8301,39583,,,,
54006,68979,85595,102668,,,,
25268,65841,,,,,,
18306,41625,60,29638,,,,
719,9503,,,,,,
132846,148179,99217,137505,29492,61953,,
2411,40044,2711,6211,,,,
50928,52744,38097,86480,,,,
72000,96018,,,,,,
140746,160671,,,,,,
185671,231293,,,,,,
41000,67790,,,,,,
30000,62105,,,,,,
124428,172527,,,,,,
62487,110451,353818,373396,,,,
91915,93725,29253,59899,,,,
93154,136685,,,,,,
66030,91901,,,,,,
45182,67436,,,,,,
40000,52318,24000,63753,,,,
183765,190936,,,,,,
175458,213799,241198,254297,,,,
48650,98157,,,,,,
33877,81478,,,,,,
3956,6829,18931,29027,,,,
75414,88672,,,,,,
66255,74436,,,,,,
68733,100667,,,,,,
1,40425,,,,,,
144565,145147,57511,71613,227948,243365,,
98806,100160,19410,22881,,,,
50199,100185,,,,,,
24846,33706,,,131069,152334,,
77787,91460,,,,,,
26542,63485,39541,52380,,,,
29523,33008,,,,,,
71573,93264,82622,84359,,,,
10021,29071,,,,,,
147839,151179,,,,,,
85902,125292,,,,,,
98603,120134,,,,,,
165000,183136,,,,,,
34814,54405,,,,,,
115000,158353,4500,44601,,,,
128446,174107,120510,141439,,,,
114215,145724,57252,70727,,,,
56991,87293,,,,,,
25276,47217,47938,82237,,,,
25491,42547,,,,,71908,88222
50,18574,156833,205762,,,,
11377,38985,,,,,,
25603,46819,14770,48256,,,,
73374,89990,104820,128085,,,,
157305,165656,,,,,,
25,37415,,,,,,
118220,160867,86132,105703,,,,
110728,154678,72089,97511,,,,
73564,115540,,,,,,
72356,92985,,,,,,
70626,94708,4680,40944,,,,
191999,238366,,,,,,
60369,70416,,,,,,
138163,164359,,,,,,
6538,35188,,,,,,
310,44212,,,,,,
191820,213691,124814,164358,,,,
103785,149378,,,,,,
50635,66301,,,,,,
188500,233855,,,93227,104303,,
63572,103711,36062,85951,,,,
23,20789,,,,,,
152764,174161,,,,,,
150729,182476,,,,,,
27959,38179,,,,,,
92590,125596,,,,,,
70923,80972,,,,,,
34305,74888,98387,138936,,,,
62285,103958,,,,,,
64160,108731,60038,81013,133107,145755,,
108633,142783,119657,134322,57803,95321,,
143298,146116,35341,73101,,,,
26919,39163,69646,75618,,,,
9777,24516,120462,139167,,,,
40265,77815,,,,,,
78665,100893,,,92823,120718,,
18040,52927,15698,64838,,,,
58993,78898,,,,,,
25426,54309,,,,,,
20101,68322,,,,,,
10000,11691,38000,66611,2000,14459,,
19030,66771,,,,,,
13902,26527,63180,97321,,,,
35003,69211,49773,57966,180690,229977,,
14801,49066,70725,83227,92128,106280,,
89552,103932,,,,,,
22488,23249,,,,,,
105398,135185,52161,78475,,,,
16254,60486,,,,,,
100,44504,145545,170113,,,,
72317,84924,,,,,,
34935,83488,85672,131458,,,,
83634,90972,54346,64838,,,,
29200,42269,72500,120600,88811,117971,,
54677,55070,,,,,,
65869,114925,,,,,,
138200,180653,,,,,,
6025,32370,48659,72812,16993,32873,,
40,26098,,,,,,
54987,64484,23549,52457,22285,48134,,
267318,305346,64923,113980,,,,
145302,156699,44555,44825,,,,
15313,52048,52009,85183,,,,
106439,126882,237,26579,,,,
79333,111561,,,93508,96515,,
89648,114057,,,,,,
80576,124432,20682,29195,,,,
37000,76044,26000,73086,,,,
87293,127648,,,,,,
42250,87856,,,,,,
110685,141715,,,,,,
86669,110080,,,,,,
34409,35649,95689,140490,,,,
691,18779,,,,,,
77717,91848,,,,,81803,105254
17792,66902,51041,53700,,,,
260,9761,42900,72140,,,,
30554,47107,,,,,,
40477,65795,,,,,,
98876,127360,,,,,,
56354,74834,,,,,,
65819,69561,,,,,,
160160,189210,78551,78790,,,,
6354,54518,3665,22756,,,,
34263,37766,,,,,,
50819,65676,,,,,,
86990,107449,,,,,,
53807,83441,577,1910,,,,
15,7878,50000,75935,,,,
127649,143813,180784,202930,,,,
14400,52013,,,,,,
2185,29021,114675,163045,,,,
557,30724,,,,,,
99605,107468,80374,96818,,,,
94772,116360,38712,46853,,,,
1635,16331,30022,75027,,,,
91237,131983,,,,,,
75133,124844,,,,,,
97537,105596,76130,102727,47836,71834,,
37822,50350,,,,,,
42000,43429,,,,,,
43600,56559,,,,,,
24346,55360,,,,,,
46262,49650,,,,,,
80892,84562,,,35771,73857,,
71295,109348,38140,61183,,,,
70000,106799,,,,,,
95250,137391,37197,78416,,,,
74997,118203,,,,,,
21238,60707,18539,53284,,,,
95281,129660,104011,120170,,,,
119883,151803,98746,148162,,,,
12000,14193,,,,,,
45000,79602,,,48000,60030,,
27723,61816,,,,,,
50509,62254,,,,,,
8,15314,,,,,101000,109327
54217,89738,,,,,,
31800,78652,124570,138630,,,,
24386,72550,33609,71805,,,,
103501,117022,89112,129978,,,,
122236,151762,33631,53439,,,,
1200,29912,,,,,,
186759,217969,5300,30169,,,,
8283,11674,,,,,,
207,36370,103919,149077,,,,
41428,90323,117680,160456,,,,
17695,58958,,,,,,
100173,147506,,,,,,
66916,98224,82594,100137,,,,
5600,38961,82300,86708,,,,
55,1800,,,,,,
49132,56087,,,,,,
7088,31759,,,92214,122231,,
119265,145293,,,,,,
126537,175773,111992,127863,,,,
89489,132696,0,44564,,,,
236346,241198,,,3865,10313,,
182000,204206,123410,131703,,,,
111238,123644,,,,,,
97757,144315,,,,,,
933,27856,,,,,,
46000,64756,3000,25090,,,,
53318,62359,166735,193814,,,,
54530,59718,,,,,,
4239,6270,183273,186895,,,,
